	summarized	lineages	abundances	resid	coverage
01_21_25_PLJAN12_R2__E0000000__X00__250205_01-21-25_WW__001.variants.tsv	[('LP.8.1* (LP.8.1.X)', 0.33333299999865024), ('BA.2.86* (BA.2.86.X)', 0.19741200000179504), ('XEC* (XEC.X)', 0.1797749999510805), ('KP.3.1.1* (KP.3.1.1.X)', 0.12884799999849514), ('KP.3* (KP.3.X)', 0.08757999999346626), ('Other', 0.0730520000063237)]	XEC.16 LP.8.1.12 MC.33 LP.8.1 KP.2.10 LP.8 KP.3.3.5 XEW NY.19 KP.3.3 XEC.36 LP.8.1.10 LP.8.1.11	0.17388779 0.17269100 0.12884800 0.11673050 0.11021500 0.08719700 0.07651400 0.07305200 0.03268380 0.01106600 0.00588721 0.00578369 0.00544401	4.546953598294211	84.11530615657291
06_30_25_SBJUN08_R1__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('LP.8.1* (LP.8.1.X)', 0.8077639999995995), ('BA.2.86* (BA.2.86.X)', 0.1922359999997446)]	LP.7 NY.2 NY.12 NY.9 NY.10 NY.17 NY.6 NY.3.3 LP.8.1.1 NY.3 NY.3.4	0.19223600 0.08077644 0.08077644 0.08077641 0.08077640 0.08077640 0.08077639 0.08077639 0.08077638 0.08077638 0.08077638	3.1375994166620154	72.70507975788382
08_26_24_PLAUG19_R2__E0000000__X00__240829_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.4764605999912884), ('KP.3* (KP.3.X)', 0.2908548999897757), ('KP.3.1.1* (KP.3.1.1.X)', 0.2326844999852122)]	KP.2.15 MC.1 KP.3.1.4 KP.1.1.5 LB.1.5 KP.3.3 KP.3.6 KS.1.1 PG.3 KP.3.3.5 KP.1.2 MC.13 MC.13.2 KP.2.2.2	0.23040700 0.22031297 0.09180650 0.08922940 0.08905557 0.06725250 0.06480440 0.06019560 0.03659980 0.03039170 0.00719920 0.00618598 0.00618555 0.00037383	4.464845505962465	95.54225328562352
01_06_25_PLDEC31_R2__E0000000__X00__250205_01-06-25_WW__001.variants.tsv	[('XEC* (XEC.X)', 0.47283393526273737), ('KP.3.1.1* (KP.3.1.1.X)', 0.35409599999780855), ('BA.2.86* (BA.2.86.X)', 0.1094635999773098), ('LP.8.1* (LP.8.1.X)', 0.06360640000597328)]	XEC MC.22 XEC.39 KP.2.10 PR.2 MC.10 MC.10.1.1 XEC.2.8 XEC.32 XEC.22 MC.1.3 XEC.9 KP.3.1.1 MC.1.1 KP.2.3.3 MC.10.1.7 PA.1 MC.42 MC.23 MC.10.1.8 MC.10.1 MC.1.3.1	0.25217820 0.13924100 0.12572594 0.09809100 0.06360640 0.06322350 0.06121035 0.03448280 0.02529550 0.02110190 0.01509211 0.01404960 0.01238162 0.01219510 0.01137260 0.00995025 0.00890035 0.00877501 0.00816327 0.00714931 0.00572724 0.00208689	5.974893609216936	96.1642644550714
11_04_24_SBOCT29_R1__E0000000__X00__241107_SG_WW_3__001.variants.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.7499999997966602), ('KP.3* (KP.3.X)', 0.2500000002014219)]	MC.9.3 MC.9 KP.3.3.10	0.37500001 0.37499999 0.25000000	4.12325367562354	70.17021703508009
06_30_25_SBJUN22_R1__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.45768199998832837), ('LP.8.1* (LP.8.1.X)', 0.3582090000050765), ('NB.1.8.1* (NB.1.8.1.X)', 0.12993399999736804), ('Other', 0.05417500000211826)]	NY.16 LP.7 KP.1.1.3 LF.10 PQ.5 XDR JN.1.3 LB.1.3.1	0.35820900 0.14545700 0.14545700 0.13369196 0.12993400 0.05417500 0.02336730 0.00970874	10.154316568624786	85.33591947296257
09_10_24_PLSEP03_R2__E0000000__X00__240912_SG_WW__001.variants.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.44640199987255536), ('BA.2.86* (BA.2.86.X)', 0.43490298742584704), ('KP.3* (KP.3.X)', 0.11869499995872071)]	JN.1.11 KP.3.3.5 MC.19 KP.3.1.1 MC.15 MC.13 MC.13.2 KP.2.3.2 KP.2.3.3 MC.1 LB.1.1 KP.2.3.6	0.35155959 0.11869500 0.09024599 0.09024599 0.09024255 0.07771378 0.07613222 0.03946595 0.03744712 0.02182147 0.00642900 0.00000133	6.171975871697874	90.36217101963014
06_17_24_PLJUN12_R1__E0000000__X00__240627_1_SG_WW__001.variants.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.5307597699460762), ('BA.2.86* (BA.2.86.X)', 0.4132887598842685), ('KP.3* (KP.3.X)', 0.05519788998648351), ('Omicron', 0.0007535800025813129)]	MC.19 KP.3.1.1 KP.2.3 JN.1.11 KP.3.3 LB.1.2 LF.9 MU.5 KP.2.3.12 NN.1 JN.1.7.4 KP.3.1.6 KS.1.3 XEP JN.1.48.3 MC.10.1.2	0.26534380 0.26534379 0.14487510 0.14326200 0.04789862 0.04017348 0.02527651 0.01924376 0.01918324 0.01023066 0.00939778 0.00729927 0.00145444 0.00075358 0.00019179 0.00007218	6.630662036365263	91.5727518978029
07_07_25_SBJUL03_R1__E0000000__X00__250725_07-25-25_WW__007.variants.tsv	[('LP.8.1* (LP.8.1.X)', 0.6816849999977824), ('XFG* (XFG.X)', 0.1952859999977696), ('NB.1.8.1* (NB.1.8.1.X)', 0.05380709999973086), ('BA.2.86* (BA.2.86.X)', 0.04016899999735646), ('Other', 0.029052900000580688)]	LP.8.1.2 XFG.3 NW.1.7 NY.16.1 PQ.7 JN.1.18.6 NY.19 XDV.1.3 XFG.2	0.40612500 0.17063500 0.14512500 0.09259260 0.05380710 0.04016900 0.03784240 0.02905290 0.02465100	9.75784787842312	94.13436778918503
08_12_24_PLAUG05_R1__E0000000__X00__240815_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.693847599998705), ('KP.3* (KP.3.X)', 0.20023941999352726), ('KP.3.1.1* (KP.3.1.1.X)', 0.0942659800006112), ('Omicron', 0.011646999999797436)]	KP.2.3.8 KP.3.1 KP.1.1 LB.1.2 KP.2.3.6 MC.13 MC.13.2 JN.1.16.1 JN.1.7.4 PG.3 KP.2.16 JN.1.2 KP.2.3.13 XEE MC.11.3 JN.1.7.3 LF.3.1 JN.1.48.2 KP.2.3.4 MC.42 KP.3.1.4 LF.9 JN.1.13	0.17796200 0.16196951 0.15896500 0.08633090 0.08155608 0.04032282 0.04032238 0.04022039 0.03927842 0.03452740 0.03064960 0.03052450 0.01520805 0.01164700 0.00972540 0.00772250 0.00673913 0.00641665 0.00626887 0.00389538 0.00374251 0.00359116 0.00241435	6.206104600400197	97.34140387252116
